location,count,link
"ames",192,"http://localhost:4000/browse.html#ames"
"iowa",192,"http://localhost:4000/browse.html#iowa"
"main building",16,"http://localhost:4000/browse.html#main%20building"
"botany hall",14,"http://localhost:4000/browse.html#botany%20hall"
"morrill hall",10,"http://localhost:4000/browse.html#morrill%20hall"
"farm house",9,"http://localhost:4000/browse.html#farm%20house"
"shattuck theatre",8,"http://localhost:4000/browse.html#shattuck%20theatre"
"sloss house",7,"http://localhost:4000/browse.html#sloss%20house"
"first cattle barn",6,"http://localhost:4000/browse.html#first%20cattle%20barn"
"cattle barn",6,"http://localhost:4000/browse.html#cattle%20barn"
"experimental barn",5,"http://localhost:4000/browse.html#experimental%20barn"
"hog houses",5,"http://localhost:4000/browse.html#hog%20houses"
"knoll",5,"http://localhost:4000/browse.html#knoll"
"margaret hall",3,"http://localhost:4000/browse.html#margaret%20hall"
"first horse barn",3,"http://localhost:4000/browse.html#first%20horse%20barn"
"north hall",3,"http://localhost:4000/browse.html#north%20hall"
"experiment station barn",3,"http://localhost:4000/browse.html#experiment%20station%20barn"
"farm boarding club",3,"http://localhost:4000/browse.html#farm%20boarding%20club"
"landscape architecture",3,"http://localhost:4000/browse.html#landscape%20architecture"
"theater-workshop",3,"http://localhost:4000/browse.html#theater-workshop"
"marston hall",3,"http://localhost:4000/browse.html#marston%20hall"
"campanile",2,"http://localhost:4000/browse.html#campanile"
"laboratory of mechanics",2,"http://localhost:4000/browse.html#laboratory%20of%20mechanics"
"south hall",2,"http://localhost:4000/browse.html#south%20hall"
"sanitary building",2,"http://localhost:4000/browse.html#sanitary%20building"
"veterinary hospital",2,"http://localhost:4000/browse.html#veterinary%20hospital"
"greenhouse",2,"http://localhost:4000/browse.html#greenhouse"
"state gymnasium",2,"http://localhost:4000/browse.html#state%20gymnasium"
"chemical and physical laboratory",2,"http://localhost:4000/browse.html#chemical%20and%20physical%20laboratory"
"judging pavilion",2,"http://localhost:4000/browse.html#judging%20pavilion"
"horse barn",1,"http://localhost:4000/browse.html#horse%20barn"
"marston water tower",1,"http://localhost:4000/browse.html#marston%20water%20tower"
"building "a"",1,"http://localhost:4000/browse.html#building%20%22a%22"
"osborn cottage",1,"http://localhost:4000/browse.html#osborn%20cottage"
"sheep barns",1,"http://localhost:4000/browse.html#sheep%20barns"
"aerospace laboratory",1,"http://localhost:4000/browse.html#aerospace%20laboratory"
"engineer's cottage",1,"http://localhost:4000/browse.html#engineer's%20cottage"
"kildee cottage",1,"http://localhost:4000/browse.html#kildee%20cottage"
"second creamery",1,"http://localhost:4000/browse.html#second%20creamery"
"the knoll",1,"http://localhost:4000/browse.html#the%20knoll"
"beardshear hall",1,"http://localhost:4000/browse.html#beardshear%20hall"
"norton house",1,"http://localhost:4000/browse.html#norton%20house"
"marston cottage",1,"http://localhost:4000/browse.html#marston%20cottage"
"music hall",1,"http://localhost:4000/browse.html#music%20hall"
"mortensen cottage",1,"http://localhost:4000/browse.html#mortensen%20cottage"
"boarding cottage west",1,"http://localhost:4000/browse.html#boarding%20cottage%20west"
"feeding barn",1,"http://localhost:4000/browse.html#feeding%20barn"
"first horticulture barn",1,"http://localhost:4000/browse.html#first%20horticulture%20barn"
"eastwood cottage",1,"http://localhost:4000/browse.html#eastwood%20cottage"
"pope cottage",1,"http://localhost:4000/browse.html#pope%20cottage"
"gables",1,"http://localhost:4000/browse.html#gables"
"the hub",1,"http://localhost:4000/browse.html#the%20hub"
"the second creamery",1,"http://localhost:4000/browse.html#the%20second%20creamery"
"teamster's cottage",1,"http://localhost:4000/browse.html#teamster's%20cottage"
"bevier house",1,"http://localhost:4000/browse.html#bevier%20house"
"coburn house",1,"http://localhost:4000/browse.html#coburn%20house"
"english office building",1,"http://localhost:4000/browse.html#english%20office%20building"
"veterinary barn",1,"http://localhost:4000/browse.html#veterinary%20barn"
"gymnasium",1,"http://localhost:4000/browse.html#gymnasium"
"grounds cottage",1,"http://localhost:4000/browse.html#grounds%20cottage"
"farm laborer's cottage",1,"http://localhost:4000/browse.html#farm%20laborer's%20cottage"
"boarding cottage east",1,"http://localhost:4000/browse.html#boarding%20cottage%20east"
"fair oaks mansion",1,"http://localhost:4000/browse.html#fair%20oaks%20mansion"
"power station",1,"http://localhost:4000/browse.html#power%20station"
"first creamery",1,"http://localhost:4000/browse.html#first%20creamery"
"workshop",1,"http://localhost:4000/browse.html#workshop"
