subject,count,link
"foster & liebbe",7,"http://localhost:4000/browse.html#foster%20&%20liebbe"
"josselyn & taylor",5,"http://localhost:4000/browse.html#josselyn%20&%20taylor"
"c.a. dunham",4,"http://localhost:4000/browse.html#c.a.%20dunham"
"proudfoot & bird",4,"http://localhost:4000/browse.html#proudfoot%20&%20bird"
"j.b. ballenger",3,"http://localhost:4000/browse.html#j.b.%20ballenger"
"prof. t.l. smith",3,"http://localhost:4000/browse.html#prof.%20t.l.%20smith"
"nourse & hallett",2,"http://localhost:4000/browse.html#nourse%20&%20hallett"
"professor budd",2,"http://localhost:4000/browse.html#professor%20budd"
"professor knapp",2,"http://localhost:4000/browse.html#professor%20knapp"
"liebbe, nourse & rasmussen",1,"http://localhost:4000/browse.html#liebbe,%20nourse%20&%20rasmussen"
"liebbe, nourse, & rasmussen",1,"http://localhost:4000/browse.html#liebbe,%20nourse,%20&%20rasmussen"
"1900 liebbe, nourse & rasmussen 1966 bernard j. slater",1,"http://localhost:4000/browse.html#1900%20liebbe,%20nourse%20&%20rasmussen%201966%20bernard%20j.%20slater"
"george e. hallett",1,"http://localhost:4000/browse.html#george%20e.%20hallett"
"hallett & rawson",1,"http://localhost:4000/browse.html#hallett%20&%20rawson"
"prof. belanger",1,"http://localhost:4000/browse.html#prof.%20belanger"
"wilkins & bussard",1,"http://localhost:4000/browse.html#wilkins%20&%20bussard"
"a.h. kimball",1,"http://localhost:4000/browse.html#a.h.%20kimball"
"h.f. liebbe",1,"http://localhost:4000/browse.html#h.f.%20liebbe"
"proudfoot & bird & rawson",1,"http://localhost:4000/browse.html#proudfoot%20&%20bird%20&%20rawson"
"hugh brown of iowa city",1,"http://localhost:4000/browse.html#hugh%20brown%20of%20iowa%20city"
"proudfoot",1,"http://localhost:4000/browse.html#proudfoot"
"rawson",1,"http://localhost:4000/browse.html#rawson"
"milens burt of muscatine",1,"http://localhost:4000/browse.html#milens%20burt%20of%20muscatine"
"soers & thomas",1,"http://localhost:4000/browse.html#soers%20&%20thomas"
